Test Index,Actual,Predicted,Error Type
332,0,1,False Positive
337,0,1,False Positive
558,1,0,False Negative
668,1,0,False Negative
754,1,0,False Negative
838,1,0,False Negative
1187,1,0,False Negative
1309,1,0,False Negative
1350,1,0,False Negative
1381,1,0,False Negative
1534,1,0,False Negative
1634,1,0,False Negative
1842,1,0,False Negative
1880,0,1,False Positive
1919,1,0,False Negative
2108,1,0,False Negative
2200,0,1,False Positive
2219,1,0,False Negative
2237,1,0,False Negative
2258,1,0,False Negative
2285,1,0,False Negative
2402,1,0,False Negative
2447,0,1,False Positive
2484,1,0,False Negative
2622,1,0,False Negative
2628,1,0,False Negative
2680,1,0,False Negative
2739,1,0,False Negative
2751,1,0,False Negative
2763,0,1,False Positive
2794,1,0,False Negative
2952,0,1,False Positive
2989,0,1,False Positive
3003,1,0,False Negative
3163,1,0,False Negative
3200,1,0,False Negative
3281,1,0,False Negative
3284,0,1,False Positive
3357,1,0,False Negative
3448,1,0,False Negative
3482,1,0,False Negative
3496,1,0,False Negative
